285
873.717-1243.535.00716,1 21 22,stand,,,
508.31-1257.815.849,0 2 18 21,stand,,,
171.575-1257.816.0482,1 3 6,stand,,,
-131.61-859.43458.2854,2 4 6 19,stand,,,
-345.72-481.74285.8564,3 5 19,stand,,,
-382.054-133.07789.7042,4 29 30 31,stand,,,
273.468-808.61353.5687,7 18 2 3 17,stand,,,
278.756-499.71577.9345,6 8 19 20 17 18 16,stand,,,
366.36-69.064518.182,7 9 15 16 17 28,stand,,,
422.348314.615-8.08688,8 10 14 16 28 41 13 12 11,stand,,,
414.521765.525-10.4957,9 13 11 44,stand,,,
567.282775.656-9.71986,12 10 9 70 62 63,stand,,,
563.341684.79-11.0692,11 13 9 44 242,stand,,,
555.313494.538-8.10029,12 14 9 10,stand,,,
546.402252.749-7.87499,13 15 26 9,stand,,,
526.69947.11670.27956,14 16 25 8,stand,,,
463.853-194.20940.2273,15 17 8 24 27 7 9,stand,,,
423.026-442.21976.2029,16 18 7 27 21 6 8,stand,,,
430.131-756.82964.3461,17 6 1 21 7,stand,,,
-28.369-550.598109.288,3 7 4 20,stand,,,
-33.0847-295.91499.4415,19 7 29 28,stand,,,
650.423-887.9685.15212,18 1 0 22 27 17,stand,,,
958.138-645.755-7.875,21 0 23 27,stand,,,
957.346-161.6310.124999,22 24 27,stand,,,
643.022-194.7348.125,23 25 16 27,stand,,,
604.58751.17426.21808,24 15 26,stand,,,
626.763192.6840.00489363,14 25 263,stand,,,
652.494-375.03943.5602,24 16 23 17 22 21,stand,,,
106.708141.9088.125,9 8 29 20 39 38,stand,,,
-224.822136.5848.125,28 30 20 5 39 38,stand,,,
-473.621160.1589.62108,29 31 5 37 38,stand,,,
-745.654307.58932.125,30 32 5,stand,,,
-841.719529.9338.9802,31 33,stand,,,
-786.95832.3540.124999,32 34 54,stand,,,
-513.1651160.650.124999,33 35 55,stand,,,
-385.5481556.60.124998,34 36 55 58,stand,,,
-456.21695.120.124998,35 57 58 172,stand,,,
-373.912409.5220.125002,30 38 53,stand,,,
